   ,HOST_EXT_ID,WT_A_1_WGT,WT_A_2_WGT,WT_A_3_WGT,WT_A_4_WGT,WT_A_5_WGT,WT_A_6_WGT,WT_A_7_WGT,WT_F_1_WGT,WT_F_2_WGT,WT_F_3_WGT,WT_F_4_WGT,WT_F_5_WGT,WT_F_6_WGT,WT_F_7_WGT,WT_P_1_WGT,WT_P_2_WGT,WT_P_3_WGT,WT_P_4_WGT,WT_P_5_WGT,WT_P_6_WGT,WT_P_7_WGT,WT_A_1_CUBE,WT_A_2_CUBE,WT_A_3_CUBE,WT_A_4_CUBE,WT_A_5_CUBE,WT_A_6_CUBE,WT_A_7_CUBE,WT_F_1_CUBE,WT_F_2_CUBE,WT_F_3_CUBE,WT_F_4_CUBE,WT_F_5_CUBE,WT_F_6_CUBE,WT_F_7_CUBE,WT_P_1_CUBE,WT_P_2_CUBE,WT_P_3_CUBE,WT_P_4_CUBE,WT_P_5_CUBE,WT_P_6_CUBE,WT_P_7_CUBE
74,S-973,0,10433.6026,8556.9261,0,10977.4227,8367.2299,10466.3925,0,3698.8192,3492.8575,0,4624.5647,3894.4791,4192.952,5802.1682,9251.3964,12233.7334,0,15556.7628,14271.1265,12604.7506,0,658.3925,629.5907,0,712.4069,535.8723,661.3258,0,320.8319,271.2495,0,344.8321,301.5909,328.3255,399.9783,561.8847,828.1597,0,1031.8772,957.3284,859.0541
75,S-927,0,0,61.6165,0,0,80.7654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2129,0,0,10.0333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,S-2242,0,17578.4168,17273.1136,0,14764.4138,15181.9833,16098.2065,4311.3516,0,2133.9406,4445.4549,4004.3268,4847.6701,0,0,8825.2476,11091.86,0,13495.1075,12454.7448,17552.0428,0,1070.9968,1194.6985,0,933.3687,832.6457,998.0831,290.7714,0,137.3481,309.1604,296.9967,342.4001,0,0,573.0533,696.8259,0,861.0669,809.5487,1122.6572
77,S-2263,10077.6751,15793.5169,10000.6535,0,13387.1102,10410.5778,13169.6314,3333.3929,0,3840.7744,0,0,3893.6387,0,10089.2681,11143.6307,0,10496.8837,5914.1426,13113.2572,0,660.7784,894.4285,629.605,0,958.2734,661.7983,817.0427,239.0721,0,277.7929,0,0,285.5816,0,658.0554,731.541,0,660.7972,389.3165,860.8343,0
78,S-2298,0,14425.2362,0,21489.6407,12077.6155,11002.4941,9885.708,0,5370.3392,3825.5151,6194.8983,3589.1553,0,5482.8499,9296.3507,9589.0531,12517.7968,0,11641.0435,8408.5249,12736.1325,0,888.646,0,1482.3424,712.3046,697.4187,645.5859,0,393.5221,250.9,453.8099,284.8655,0,406.0084,659.4952,590.4386,783.9253,0,727.9267,587.7234,773.148
79,S-33,0,7576.7971,0,0,7299.068,7137.5272,5497.6546,1985.5,712.8568,0,1734.1174,1720.7413,1712.5886,0,10848.2137,7233.4852,0,6871.7243,9190.6197,8194.6074,0,0,464.8132,0,0,422.705,429.2651,354.8454,150.1113,54.9596,0,133.3873,140.8836,131.2411,0,734.6428,493.0002,0,478.5975,638.2837,568.7483,0
80,S-6607,10138.6181,9651.6922,0,18886.9066,7358.5264,15264.8984,0,0,3691.0538,0,4066.9895,3236.8804,4585.9553,0,8771.0995,17491.789,0,15576.3431,6856.0216,21088.0055,0,601.4403,559.2949,0,1255.488,563.8742,880.2922,0,0,293.0619,0,323.3753,242.8772,358.506,0,562.6967,1258.7518,0,1127.7951,431.1299,1579.9065,0
81,S-70,0,9430.9362,6605.0355,0,9805.853,10095.9607,10018.1626,0,2921.1769,3016.8407,0,3578.575,2331.2385,3608.4448,0,7295.1233,12544.1919,0,14680.9533,14013.9572,15099.3852,0,593.721,394.4248,0,609.8144,685.3808,739.0004,0,192.0989,217.0394,0,258.6279,176.5877,259.2775,0,472.9628,885.5465,0,1078.5013,1008.6894,1088.2118
82,S-907,9522.6769,10559.8029,11704.4051,0,8347.9954,11529.2126,8695.6994,0,6460.172,5000.6861,0,6752.6591,0,6932.7523,9938.5416,10992.2317,16467.2018,0,12668.6069,9529.7198,14347.4087,553.9666,622.7741,754.3349,0,675.6778,735.4231,515.2464,0,492.6845,370.6615,0,491.4096,0,501.7352,671.5219,672.7531,1006.9091,0,741.0281,644.1869,827.7737
83,S-946,0,9610.5323,0,14882.3814,9502.6795,8726.0949,8740.334,0,3695.4399,0,0,4053.4635,0,3384.6431,9533.68,11462.3605,10253.9295,10717.8773,6016.0677,12586.7559,0,0,594.8059,0,1089.7482,493.3596,542.5946,504.3459,0,260.3168,0,0,282.5687,0,238.5648,605.3283,729.1808,652.8431,672.863,395.5133,781.2781,0
84,S-959,0,17980.2605,0,12081.5501,10790.8495,14340.7935,6399.4064,0,4034.8559,4096.9887,0,5213.7489,0,4389.3538,8080.0924,13956.4308,0,13442.6064,16997.9305,12359.7199,7284.2248,0,1260.4721,0,761.0277,691.4707,854.5165,384.6091,0,344.701,320.8435,0,398.6522,0,341.9765,456.4065,929.0294,0,881.7132,1065.9073,785.7519,517.6717
85,S-975,0,10308.1484,11490.1798,0,10800.7848,14937.1493,9511.5112,4773.4614,3766.1201,3258.2338,0,4077.0819,2976.0172,4556.7608,9639.1436,10073.9576,0,12400.2087,16233.2921,12966.8457,0,0,615.6438,868.4301,0,702.7672,801.4871,580.4582,364.8598,343.3946,256.7814,0,308.1622,235.9909,355.6692,640.1674,618.3217,0,808.9776,1035.7977,850.868,0
86,S-979,6405.078,7465.4834,7068.8817,0,14994.0061,0,9804.9213,0,4442.1888,0,0,6235.5251,0,4556.4375,13592.0782,11009.4506,14747.7828,0,19173.8008,0,13708.898,367.3954,417.0881,423.3483,0,1057.1812,0,605.7141,0,343.7505,0,0,478.2465,0,345.853,915.2144,713.6558,980.6321,0,1346.125,0,933.0076
87,S-989,6051.7826,5237.3311,7487.1244,0,8342.4315,6224.0174,5831.0401,2010.9779,0,2513.6085,0,3692.2926,0,2152.3999,7898.3389,5943.8836,8077.5154,5182.628,8642.2759,5803.5836,8781.7013,346.9626,313.8478,480.8457,0,552.1178,374.0567,360.745,158.9419,0,181.48,0,267.0129,0,160.6145,507.3991,359.936,498.8964,365.4931,535.9066,406.8211,546.5742
88,S-990,10983.6159,15524.6651,0,23360.1618,16019.3298,18356.8363,11161.0531,0,5548.4529,0,0,6453.3987,3399.429,6103.0054,19488.9213,25152.4083,14337.6502,13613.8008,9540.7237,14437.0727,16814.0524,667.6688,939.5837,0,1771.2545,1141.8416,1119.4532,689.0088,0,414.9571,0,0,473.8495,221.3732,453.9479,1248.3815,1639.4806,805.0129,807.8691,680.1782,917.3005,1098.7823
89,S-104,0,9360.1299,10376.9884,0,8891.4704,10883.5481,8007.812,2303.0746,4078.1799,2997.0485,0,3715.4846,2652.1904,2858.1613,0,7265.8267,8855.9809,0,12658.8947,15548.7497,11454.8026,0,588.7243,647.5678,0,571.3468,564.2044,451.4176,191.3025,336.3577,229.9722,0,281.1291,180.5408,219.3644,0,484.9689,576.82,0,835.8794,992.9353,747.1677
90,S-124,4341.2479,1675.5787,0,6480.3163,5300.6201,4912.8721,0,0,1249.1667,1731.179,0,2526.4148,0,1665.7525,5251.7233,3511.6826,0,5720.0271,6309.5576,7168.0528,0,258.2554,144.1665,0,426.1136,356.3028,323.6617,0,0,93.869,125.2402,0,193.8838,0,120.6055,330.4978,244.3136,0,365.0126,419.1055,474.1495,0
91,S-126,9395.8482,1613.8939,0,8769.5346,10287.6928,9392.6863,0,0,3223.4921,2848.5624,0,3517.2888,0,2942.4266,7193.332,6572.1208,0,7827.1319,11756.3293,9711.7405,0,544.4573,103.2661,0,533.2298,615.6821,588.5446,0,0,253.1582,210.1245,0,264.3984,0,215.8272,461.4657,404.7415,0,503.8753,782.7221,612.9836,0
92,S-149,9988.6035,5791.3077,0,13782.4591,12277.0362,9662.1938,0,0,4719.4903,3536.4534,0,4881.791,0,3471.3608,9370.568,8130.1366,0,11794.0673,18454.7498,13334.7742,0,597.6952,353.6318,0,840.7099,738.3154,623.3123,0,0,366.4867,269.4352,0,349.4931,0,252.2312,599.3144,522.8115,0,768.6969,1161.9276,864.2413,0
93,S-164,0,9342.0531,11004.7539,0,8967.8134,8294.1206,9369.0677,1775.0133,0,2980.1925,0,3521.729,2678.9336,2773.9428,2139.3059,8437.6147,7929.1974,1449.0972,11957.4913,4562.3071,10658.5237,0,570.3138,681.519,0,568.9894,471.4379,544.5721,139.5966,0,217.7277,0,263.698,201.3552,207.6634,177.4084,515.5387,531.003,117.2621,821.0029,325.2382,703.5026
94,S-21,11429.3966,9836.6746,0,11691.3923,8556.8392,12569.8761,0,2305.6604,1766.2107,0,2534.088,1099.012,2426.2967,0,8652.9653,8240.471,0,9016.2518,4599.43,10428.0194,0,674.498,590.542,0,770.9379,575.8986,783.8677,0,169.2294,132.0455,0,183.8509,74.4289,181.2687,0,583.2997,579.9631,0,643.8193,291.0428,724.3004,0
95,S-219,0,11196.4033,0,0,12088.2538,12133.2748,9313.2983,2935.75,3193.4562,0,3285.2823,2297.0908,3212.668,0,12709.8828,15269.7846,5054.411,11495.4973,15592.5584,14611.3315,0,0,708.119,0,0,710.63,743.9196,597.3564,229.2211,237.1419,0,261.1644,196.2172,253.0237,0,853.1802,1040.7027,368.4237,764.1571,1078.5727,1012.8271,0
96,S-2218,8720.6826,14058.8941,15775.4251,0,15188.4381,7950.4036,12475.1837,5102.5906,0,5101.0342,0,0,5642.0964,0,11425.0892,13947.0274,0,13081.2868,11453.8135,12994.9519,8600.8281,505.5617,937.1355,1071.3568,0,971.3142,475.5367,755.2567,374.1246,0,376.1563,0,0,417.292,0,707.006,866.269,0,799.597,714.5968,796.62,588.4691
97,S-2249,0,11535.7146,10223.1592,0,10184.6056,6686.8708,11501.0438,3001.7851,0,1235.0847,2677.2042,1449.7992,3232.2087,0,7452.7234,10148.2231,0,9317.4393,4696.5412,7479.9591,6655.7159,0,654.9459,678.2102,0,626.7855,403.2932,717.8157,213.4322,0,76.7988,195.3689,114.8048,232.2828,0,491.5919,664.3796,0,613.8017,322.3082,492.3074,428.7714
98,S-23,0,6131.9214,7298.733,0,6677.0279,8224.5048,7099.2372,0,1855.7694,1909.9272,0,0,1913.8607,2406.6967,0,7853.869,5120.3029,0,6807.5203,6748.33,7183.6583,0,355.8625,469.4908,0,441.5437,529.8796,406.6658,0,141.8257,148.3844,0,0,146.8472,183.3318,0,496.22,339.92,0,466.02,465.2703,486.7989
99,S-47,0,8329.8228,8464.8593,0,7251.0806,7241.1237,7284.1842,0,1803.8041,1805.1574,0,2175.597,2152.9449,1579.9728,0,9203.0302,7621.3407,0,8780.7103,7576.7342,7440.4825,0,491.1402,526.9767,0,444.7535,416.8036,461.5514,0,152.6069,147.114,0,167.8776,176.7625,130.6943,0,623.8359,518.414,0,596.3411,538.6502,509.4005
100,S-6622,7568.3602,9609.3065,12103.2856,0,12204.3645,8102.2549,12265.3764,0,3888.6733,0,4131.6033,3182.6753,4498.5776,2846.8141,6409.9646,11136.2488,12170.9459,0,15608.8108,11349.8995,15316.3778,514.6548,606.2825,858.4162,0,807.2491,582.1731,771.289,0,304.0391,0,331.782,286.5167,355.2961,280.8444,454.2423,679.9,855.1618,0,1104.3024,801.0792,1080.5016
